make,model,year,color,vin
Cadillac,Seville,2003,Khaki,3D73M4HL3BG659234
Mercedes-Benz,400SE,1992,Crimson,WAUSGAFB1AN163793
Dodge,Caravan,1999,Crimson,3GYT4MEF7DG406293
Land Rover,Defender,1995,Puce,4JGDF2EE6FA552410
Isuzu,i-Series,2008,Turquoise,3D73Y3CL2BG943329
Infiniti,FX,2009,Crimson,1D7RB1CT3AS444658
GMC,Sierra 2500,2001,Fuscia,WBABD33404J333020
GMC,Yukon XL 1500,2005,Green,5UXWX7C59BL364178
Dodge,Ram Van B250,1992,Khaki,WDDEJ7KBXBA940562
Nissan,Maxima,2012,Purple,WDDGF4HB2DR866493
Acura,MDX,2005,Khaki,SCBZU25E81C659524
Lexus,IS,2005,Turquoise,KMHFG4JG5EA317990
Ford,Probe,1996,Khaki,1G6DV1EP0C0949697
Subaru,Tribeca,2010,Red,WBA3B1G58FN514878
Isuzu,Hombre,2000,Green,JN1CV6AP9CM705294
Lamborghini,Gallardo,2009,Puce,19UUA8F5XDA734663
Chrysler,Voyager,2003,Indigo,WBA3F9C5XDF689732
Mitsubishi,Lancer Evolution,2002,Aquamarine,2D4RN4DG1BR228799
Ford,F250,1992,Yellow,3VW467AT1DM080989
Mazda,MPV,1994,Orange,KMHFC4DD0AA285487
Hyundai,Elantra,2011,Orange,3D73Y4HL6BG365217
Dodge,Caravan,2009,Red,WAUWFAFR0EA218085
Nissan,370Z,2011,Maroon,SCFBF04B78G100202
Land Rover,LR2,2012,Green,WP0CB2A81FK761897
Toyota,Tundra,2008,Red,1FTNF2B5XAE231420
Nissan,Quest,1996,Indigo,2T2BK1BA3DC847729
GMC,Yukon XL 2500,2003,Purple,1G6AF5S35E0063354
Land Rover,Range Rover,2010,Turquoise,5GADX33L46D161281
Buick,Rendezvous,2007,Mauv,JTDKDTB30C1899821
Suzuki,Esteem,1998,Goldenrod,WAUSF98E66A690011
Ford,Expedition,2010,Goldenrod,5UXFG83579L339490
Volkswagen,Golf,1995,Red,WA1CFBFP0CA508702
Lexus,LS,2008,Teal,1G6DF8E59E0175179
Lincoln,Navigator,1999,Indigo,1C3CDZEG4CN359598
Isuzu,Ascender,2007,Purple,4A31K2DF9AE846797
Cadillac,Seville,2001,Orange,WDDEJ7KB7BA537980
Cadillac,Seville,2001,Red,JH4CU4F48AC752238
Pontiac,Bonneville,1966,Khaki,3N1CN7AP7FL532489
Buick,Coachbuilder,1991,Yellow,5J8TB4H3XDL335270
Kia,Spectra,2007,Fuscia,1G6DU6EV9A0359896
Pontiac,Bonneville,1990,Crimson,JTDBT4K35B4398297
Ford,E150,2011,Maroon,WBAKX6C52CC102155
Mitsubishi,Outlander,2007,Khaki,WAUKF78E86A013787
Daewoo,Nubira,2001,Purple,WAUKFAFL2EA755793
Cadillac,Catera,2001,Violet,JN1AZ4EH3DM551539
